Measurement,Inches
1. Head,11.0
2. Neck,19.2
3. Neck-Wrist,39.7
4. Shoulders,19.1
5. Chest,21.0
6. Waist,11.7
7. Hips,13.1
8. Neck-Waist,49.6
9. Waist-Floor,55.2
10. Waist-Knee,29.3
11. Knee,0.0
12. Calf,15.5
13. Ankle,0.0
14. Height,108.7
